",""baseMean"",""log2FoldChange"",""lfcSE"",""stat"",""pvalue"",""padj"""
jg32814.t1,220.461838486938,-1.36805521715834,0.290164645671399,-4.71475501087617,2.42001746322908e-06,1.8377737625795e-05
jg20703.t1,768.422265784418,6.97210144708114,0.850765502535216,8.19509186292206,2.50401853855281e-16,7.10399333530168e-15
jg19583.t1,6484.00358197535,0.10864733733873,0.166028747528739,0.654388706509534,0.51286140850318,0.660177660519621
jg3055.t1,9037.24058556246,0.129264228347273,0.105434014128496,1.2260201739994,0.220191083351268,0.355559860989055
jg26254.t1,0.645069100879874,3.49333022779807,4.23057628825843,0.825733892919856,0.408955061533212,NA
jg4651.t1,26.47165060757,-9.040124379323,1.06357804075258,-8.49972830665651,1.9003495159361e-17,5.94788964622235e-16
jg14143.t1,8.40117691227747,-0.441336568555932,0.775443430255239,-0.569140895823522,0.569260526939503,0.710306730887991
jg32196.t1,4.80449098183343,-4.39639403783846,2.08507973763757,-2.10850163592288,0.0349876214026289,0.0828724618592011
jg33792.t1,722.530197674669,0.0763761218805143,0.175758171412829,0.43455232417683,0.663887407179528,0.788356245764958
jg4548.t1,2050.1172711262,0.321562846416127,0.478562851352309,0.671934408421932,0.50162545410866,0.650533688199902
jg33689.t1,1177.45927188246,0.105546137541118,0.119873030134824,0.880482769330243,0.378597835472944,0.531172014987538
jg22410.t1,496.944657884493,-0.126124919485389,0.260696286744886,-0.48380021464906,0.628527662729097,0.760852856879691
jg21681.t1,13.9823330674598,-2.82013586414889,1.11797480620065,-2.52253972854085,0.0116510788474668,0.0331158678929853
jg15636.t1,2499.71497472748,-0.175606242494141,0.148243757949361,-1.18457765050807,0.236184477923797,0.375490621192085
jg22307.t1,108.466025953145,1.10993369279841,0.339375432661535,3.27051868219749,0.00107350451169897,0.00430170282578932
jg21578.t1,41.1140229499626,0.678516437032175,0.551365111016587,1.23061184589854,0.218468072612596,0.353483527382293
jg430.t1,5887.85981793697,0.231626149146066,0.136914128525746,1.69176221358711,0.0906913209258021,0.179081674886931
jg29454.t1,0.148850452971898,-0.300767187082895,4.3279432477791,-0.0694942539362629,0.944596206292227,NA
jg6255.t1,396.166818954559,-1.89973396284049,0.676957570244919,-2.80628217534103,0.00501167838014424,0.0161448119507663
jg24014.t1,9.67772398236388,-0.308813777315309,0.660987973842556,-0.467200296429095,0.640356581589343,0.770195420722391
jg23285.t1,7938.31525879944,-0.742017087201134,0.185295864539912,-4.00449890796838,6.2149078220566e-05,0.000344656878891625
jg1682.t1,1.31714722171998,0.926915390928448,2.73031972994218,0.339489687146669,0.734240864759624,0.842622736611857
jg2411.t1,4179.37362665109,-1.29143376175576,0.270070873730047,-4.78183279788485,1.73704135219018e-06,1.35699945463102e-05
jg11174.t1,319.096350221261,0.266647488609372,0.332461211558598,0.802040897821772,0.422529301056903,0.574886981047204
jg25610.t1,2643.17263701617,0.865894388787366,0.298758716426754,2.89830669760444,0.00375183504288141,0.0126458500717284
jg24881.t1,61.2210208721089,0.632208439093284,0.38139602826146,1.6576167349595,0.097394849681782,0.189579328911148
jg1579.t1,2.59541074207457,2.44833928155884,1.71559416547302,1.42710865473466,0.153548578229047,0.269506272014659
jg12770.t1,50.4985547820727,-1.33470062771849,0.84268854798723,-1.58385993366877,0.113225596828662,0.212891329532246
jg31552.t1,21.6952361937737,-0.368714930019885,0.602104398028635,-0.612377074851311,0.540288305951742,0.684603517745225
jg2308.t1,1163.18397720205,-0.219123477647865,0.126541760666303,-1.73162975206031,0.0833395054028087,0.167080812953024
jg24778.t1,2567.66950169162,-0.441732914741272,0.120902528391525,-3.65362842794143,0.000258560368107363,0.00121920868214306
jg31449.t1,10.2589640186917,-0.259623198069328,1.33134078219144,-0.195008822340723,0.845386040986543,0.90717482322992
jg19050.t1,1550.83930441198,0.0567633910825737,0.425907226820613,0.133276421502192,0.89397477414735,0.935935608599111
jg12667.t1,32.6469303877313,2.1870280566644,0.864110732383847,2.53095809912114,0.0113751436404896,0.0324519926577842
jg20934.t1,3422.65224110896,9.66722940824908,0.420170670622738,23.0078634330216,3.88863570511011e-117,4.92132209149327e-114
jg26485.t1,55.5873279882767,-0.383397844642913,0.762625188071246,-0.502734305973506,0.615151086692687,0.74919739880547
jg4015.t1,1124.86438090436,0.430426559848361,0.168796091955903,2.54997941516803,0.0107729279692568,0.0310227925731229
jg3286.t1,1984.10464210359,0.325267403397548,0.198301571023053,1.64026639687961,0.100949789223963,0.194955328225405
jg5611.t1,2.00132401606983,2.69698793239342,1.5539040426446,1.73562064218804,0.0826309336056483,0.165898377479686
jg4882.t1,174.387567241071,1.54432835954658,0.624408811989116,2.47326483850695,0.013388488503583,0.037278756778486
jg15103.t1,1001.38628963231,0.188691942973745,0.149124973228154,1.26532758993395,0.205753920278642,0.337489299643341
jg21045.t1,6.68611997282234,0.390425604548815,1.31417931136423,0.297087011774306,0.766400080072172,0.866277319460267
jg15970.t1,7.36319604836507,0.481334461515548,0.712477490464464,0.675578482067926,0.499308307170476,0.648563482930871
jg4779.t1,444.915755854237,-0.59483339405273,0.217859454294745,-2.73035382365354,0.00632663832057998,0.0196852793410414
jg27978.t1,4166.11181334887,1.33574082641223,0.999022989316504,1.3370471357482,NA,NA
jg22641.t1,60.8161510610476,0.978591297934742,0.490383731534785,1.99556232192284,0.0459815841618653,0.103629823178854
jg15867.t1,292.022860587349,0.658595723992737,0.287666961630376,2.28943817621632,0.0220539061504487,0.0566688824353162
jg10530.t1,0.235329169482541,1.23689151436875,4.31730498719088,0.286496209565578,0.774498096190218,NA
jg22538.t1,1.32117915610227,1.20086963370071,4.17541520737796,0.287604842646252,0.773649237546823,0.871242833067398
jg661.t1,956.087718684786,-0.0868742461108568,0.416729895600568,-0.208466555982643,0.834864693434847,0.905690989378101
jg28192.t1,314.938392390649,-1.24225305369176,0.654955647115269,-1.89669798124992,0.0578678103077928,0.124889302210658
jg28089.t1,1.46924956245123,0.884532996404745,2.55502707381828,0.346193199073574,0.729197525446746,0.838686643381693
jg16081.t1,56150.6510584533,0.403830091173533,0.147007387061902,2.74700543451935,0.00601421379277071,0.0188542525665019
jg558.t1,23.3258742760725,3.88572038145663,0.645652163465084,6.0182875568832,1.76271855930114e-09,2.28142338035294e-08
jg10427.t1,89.3443204958428,0.139251940710143,0.71152621246064,0.195708799298586,0.844838096756157,0.907052994514991
jg29685.t1,5011.79872162856,-0.078883904293592,0.062756640729286,-1.25698098841642,0.208760519890197,0.341209568923795
jg30805.t1,1116.98893762737,-0.350167614238438,0.496579006402724,-0.705159923644563,0.480710718390223,0.631431750491996
jg7215.t1,11962.0447197082,-0.415499111167534,0.098973151519136,-4.19809922984214,2.69164691488138e-05,0.000162785078741673
jg6486.t1,1101.2324806668,0.579321033181191,0.401205396357336,1.44395124901365,0.148752689122009,0.26299157403811
