"""GeneID"",""baseMean"",""log2FoldChange"",""lfcSE"",""pvalue"",""padj"""
jg3345.t1,671.85334571542,-14.6496219091212,3.7798773356515,6.41096402323367e-14,1.41307715098712e-12
jg18866.t1,533.921382407218,-14.5928268390056,3.42736886385872,4.26369347887954e-34,4.32900963430067e-32
jg16544.t1,716.615428205898,-14.5362266134828,4.00607019836566,NA,NA
jg3648.t1,513.904400301242,-14.5252882313358,3.4400386891517,7.37474756619026e-32,6.55757056879377e-30
jg13433.t1,505.032714401182,-14.4669282945844,3.46639127169892,8.79058650223312e-28,5.87759353880293e-26
jg12136.t1,475.727637409753,-14.4039187208854,3.43228797681314,4.05547927037996e-31,3.41519066086821e-29
jg28843.t1,471.212296794169,-14.4008247543579,3.42142900836953,8.68235037366101e-33,7.99334584883157e-31
jg28098.t1,689.835456492128,-14.3900111391666,4.08063475579589,NA,NA
jg27411.t1,593.361029877834,-14.2714991615964,3.93599282655423,1.86266682107906e-10,2.6840400815871e-09
jg9729.t1,462.704300163617,-14.2515080903542,3.53089699987564,1.36392224586976e-20,5.53141951044516e-19
jg30248.t1,420.813469255307,-14.1800928109711,3.41984944839693,8.01216599262787e-28,5.3850783263127e-26
jg437.t1,418.635376056661,-14.1742181447916,3.42423890628563,8.83975226163372e-28,5.88604155244411e-26
jg434.t1,417.9656011485,-14.1687213752835,3.43126814971652,5.01117977129609e-27,3.18844664914999e-25
jg14794.t1,406.760724563882,-14.1191769629549,3.42353329417831,9.41535543383156e-27,5.873212566045e-25
jg441.t1,402.12795950988,-14.1035829573074,3.41280417845765,3.74278995596026e-27,2.41359373916789e-25
jg18010.t1,393.386758265661,-14.088719086789,3.41401748479393,3.11664627343676e-28,2.15026062894076e-26
jg3458.t1,396.489034132354,-14.0832828273951,3.42881662378967,1.34121136775586e-26,8.27619911241071e-25
jg11723.t1,416.564232471873,-14.0788805255342,3.51001127801792,3.83509408631407e-20,1.48186793359439e-18
jg11747.t1,415.739249794652,-14.0627038394743,3.53176754952241,3.80788331180069e-19,1.33775846605494e-17
jg3917.t1,383.051656625679,-14.0541994017018,3.39532600468736,1.27217700690622e-29,9.63623599516899e-28
jg15164.t1,393.653406026256,-14.0458243151807,3.44904819577,4.60208248221104e-24,2.38708017446859e-22
jg18006.t1,384.950857531232,-14.0398048028677,3.4014867461705,1.23171516467779e-27,8.08863958602169e-26
jg11797.t1,406.593125557157,-14.0284434783777,3.52555693304594,3.58730270223835e-19,1.26492180998139e-17
jg18867.t1,374.057404032286,-14.0119445283236,3.39935747411258,1.01123461997815e-28,7.27479136663681e-27
jg1135.t1,366.895752814907,-13.9283037050225,3.44111212761695,2.24549497281559e-23,1.10469092889443e-21
jg13436.t1,353.011646919166,-13.8941241082858,3.41115560113147,1.70800060504607e-25,9.81997456298774e-24
jg13430.t1,355.39621891773,-13.8918600652518,3.41259330565641,8.52043519426894e-25,4.6556698565326e-23
jg28111.t1,356.44712125059,-13.8523104453041,3.46962206291176,8.38868434246514e-21,3.48093927671684e-19
jg18017.t1,333.8120722234,-13.82773673433,3.37878372228305,7.31341419881093e-28,4.93862441840459e-26
jg8147.t1,331.58729087935,-13.8204880047742,3.3651118131377,6.18688769269873e-29,4.4960144268363e-27
jg13442.t1,336.352352434472,-13.792522931344,3.42507611504432,4.07598704026749e-23,1.98475613838331e-21
jg3918.t1,332.768116098841,-13.7441397698377,3.44898193627567,6.92795743512266e-21,2.88735483671662e-19
jg12137.t1,298.987640782606,-13.6714782398181,3.33936732771899,3.71477177060319e-30,2.90604768677351e-28
jg12610.t1,293.804733805803,-13.5930685017176,3.38432475598426,3.99227030792522e-24,2.08588838424297e-22
jg8061.t1,312.550218979623,-13.5895418672307,3.49144448520817,1.32745615279825e-17,4.14931490905234e-16
jg18005.t1,270.158909299262,-13.4875534212939,3.34512926140027,1.79785335596548e-26,1.10227274706646e-24
jg14182.t1,255.922272492023,-13.4024048876725,3.33174162433793,1.19848912043798e-26,7.41147742902378e-25
jg14083.t1,257.779086814803,-13.3360662856175,3.41085777429852,7.74522016723689e-20,2.91407547737617e-18
jg21839.t1,244.055381992642,-13.3007631849145,3.3498919541895,1.2366114047724e-23,6.20081571654001e-22
jg4795.t1,250.745118195637,-13.2884059622045,3.40878224975646,1.51639516644875e-19,5.55210056339649e-18
jg15043.t1,240.529073216712,-13.2772791959118,3.34656158165631,1.46161270584988e-23,7.29074825677594e-22
jg13440.t1,238.413121532961,-13.2491740023838,3.36050881110483,3.47035103114943e-22,1.58726981987014e-20
jg27413.t1,239.372482214068,-13.2227125289343,3.37800386087136,2.39897251824214e-20,9.50032934195146e-19
jg11186.t1,245.418200905995,-13.1883062722119,3.46315047116234,2.59354741261638e-16,7.16780400753207e-15
jg13434.t1,222.995803437273,-13.145655920724,3.33618900727594,1.44939386486424e-22,6.78088972856095e-21
jg14575.t1,217.167902489792,-13.1393515354369,3.2985473737296,4.75984955889946e-26,2.85710718176959e-24
jg7005.t1,217.763493715513,-13.136960715492,3.28252086574456,1.70769869631537e-26,1.05150170049251e-24
jg27616.t1,239.791981719585,-13.1188101584248,3.49232769511752,5.41812052986152e-15,1.31802571802035e-13
jg13484.t1,214.45549935842,-13.0790006263622,3.34287626030915,8.7005614361794e-22,3.83253038524136e-20
jg22903.t1,208.007596298273,-13.0478509742378,3.30687253380858,9.86223728741253e-24,4.98016892439498e-22
jg27739.t1,292.796571372454,-12.985650777286,3.95491648778127,4.27242771406979e-08,4.36886251104451e-07
jg13432.t1,201.331153819797,-12.9818792963598,3.32420500114525,6.61386308784937e-22,2.95426096616698e-20
jg26603.t1,1970.31619065303,-12.930915642332,1.09947381146349,8.20642987319825e-33,7.60409385532079e-31
jg10357.t1,265.554252639034,-12.9113462034385,3.85385263853418,1.08296989090497e-08,1.20981638378428e-07
jg3723.t1,242.199170184394,-12.8651857229972,3.73908954206296,NA,NA
